Map,19.90%,19.90%,15.20%,9.80%,9.80%,9.80%,5.10%,5.10%,4.30%,1.20%,Surf 19.9%,Surf 19.9%,Surf 15.2%,Surf 9.8%,Surf 9.8%,Surf 9.8%,Surf 5.1%,Surf 5.1%,Surf 4.3%,Surf 1.2%,Old Rod 50%,Old Rod 50%,Good Rod 50%,Good Rod 50%,Super Rod 25%,Super Rod 25%,Super Rod 25%,Super Rod 25%
Route20,"20, Tentacool","10, Tentacool","15, Tentacool","5, Tentacool","15, Tentacool","20, Tentacool","25, Tentacool","30, Tentacruel","35, Tentacruel","40, Tentacruel",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",20 Tentacool,20 Tentacruel,30 Staryu,40 Tentacruel
Route21,"25, Pidgey","23, Rattata","23, Pidgey","21, Pidgey","27, Mr_mime","25, Rattata","25, Raticate","27, Pidgeotto","29, Pidgeotto","30, Pidgeot","20, Tentacool","10, Tentacool","15, Tentacool","5, Tentacool","15, Tentacool","20, Tentacool","25, Tentacool","30, Tentacruel","35, Tentacruel","40, Tentacruel","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",15 Tentacool,20 Staryu,30 Tentacool,30 Tentacruel
Route22,"3, Nidoran-m","4, Mankey","3, Nidoran-f","4, Nidoran-m","5, Spearow","4, Nidoran-f","5, Mankey","6, Spearow","5, Rattata","5, Rattata",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",10 Poliwag,15 Poliwag,20 Poliwag,25 Poliwhirl
Route23,"44, Nidorino","44, Nidorina","51, Primeape","49, Nidoking","49, Nidoqueen","50, Fearow","5, Squirtle","5, Bulbasaur","5, Charmander","5, Eevee",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Poliwag,30 Poliwag,30 Poliwhirl,40 Poliwhirl
Route24,"12, Pidgey","12, Bellsprout","13, Abra","14, Oddish","14, Bellsprout","15, Pidgey","13, Venonat","16, Venonat","17, Pidgey","17, Pidgeotto",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",35 Goldeen,30 Seaking,35 Seaking,30 Seaking
Route25,"12, Pidgey","12, Bellsprout","13, Abra","14, Oddish","14, Bellsprout","15, Pidgey","13, Venonat","16, Venonat","17, Pidgey","17, Pidgeotto",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",25 Krabby,30 Krabby,35 Kingler,15 Dratini
CeruleanCave1F,"64, Rhydon","63, Golem","62, Electrode","61, Lickitung","65, Chansey","60, Ditto","64, Vileplume","63, Victreebel","64, Raichu","65, Raichu",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",55 Seaking,55 Poliwrath,55 Cloyster,55 Starmie
CeruleanCave2F,"64, Golem","63, Sandslash","62, Wigglytuff","61, Marowak","65, Dodrio","60, Ditto","64, Magneton","63, Chansey","64, Raichu","65, Raichu",,,,,,,,,,,,,,,,,,
CeruleanCaveB1F,"64, Hypno","63, Golduck","62, Golbat","61, Sandslash","65, Parasect","60, Slowbro","64, Kadabra","63, Ditto","64, Ditto","65, Alakazam",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",60 Seaking,60 Kingler,60 Cloyster,60 Starmie
DiglettsCave,"18, Diglett","19, Diglett","17, Diglett","20, Diglett","16, Diglett","15, Diglett","21, Diglett","22, Diglett","24, Dugtrio","24, Dugtrio",,,,,,,,,,,,,,,,,,
MtMoon1F,"8, Zubat","9, Zubat","10, Geodude","6, Zubat","7, Zubat","10, Sandshrew","10, Geodude","11, Sandshrew","12, Sandshrew","12, Clefairy",,,,,,,,,,,,,,,,,,
MtMoonB1F,"8, Zubat","9, Zubat","10, Zubat","10, Geodude","11, Geodude","11, Zubat","9, Paras","11, Paras","10, Clefairy","12, Clefairy",,,,,,,,,,,,,,,,,,
MtMoonB2F,"10, Zubat","11, Geodude","13, Paras","11, Zubat","11, Zubat","12, Zubat","13, Zubat","9, Clefairy","12, Clefairy","15, Clefairy",,,,,,,,,,,,,,,,,,
PokemonMansion1F,"34, Rattata","34, Raticate","33, Grimer","36, Growlithe","37, Rattata","37, Raticate","32, Growlithe","36, Grimer","40, Magmar","45, Magmar",,,,,,,,,,,,,,,,,,
PokemonMansion2F,"37, Rattata","37, Raticate","36, Grimer","39, Grimer","40, Muk","40, Raticate","42, Muk","40, Magmar","42, Magmar","45, Magmar",,,,,,,,,,,,,,,,,,
PokemonMansion3F,"37, Rattata","37, Raticate","36, Grimer","39, Grimer","40, Muk","40, Raticate","42, Muk","40, Magmar","42, Magmar","45, Magmar",,,,,,,,,,,,,,,,,,
PokemonMansionB1F,"37, Raticate","37, Magmar","36, Grimer","39, Grimer","40, Muk","40, Raticate","7, Ditto","40, Magmar","25, Ditto","30, Ditto",,,,,,,,,,,,,,,,,,
PokemonTower1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PokemonTower2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PokemonTower3F,"20, Gastly","21, Gastly","22, Gastly","23, Gastly","24, Gastly","19, Gastly","18, Gastly","25, Gastly","25, Haunter","25, Haunter",,,,,,,,,,,,,,,,,,
PokemonTower4F,"20, Gastly","21, Gastly","22, Gastly","23, Gastly","24, Gastly","19, Gastly","19, Gastly","25, Gastly","24, Haunter","25, Haunter",,,,,,,,,,,,,,,,,,
PokemonTower5F,"22, Gastly","23, Gastly","24, Gastly","25, Gastly","26, Gastly","21, Gastly","24, Cubone","27, Gastly","27, Haunter","27, Haunter",,,,,,,,,,,,,,,,,,
PokemonTower6F,"23, Gastly","24, Gastly","25, Gastly","26, Gastly","27, Gastly","23, Gastly","24, Cubone","28, Haunter","29, Haunter","30, Gengar",,,,,,,,,,,,,,,,,,
PokemonTower7F,"24, Gastly","25, Gastly","26, Gastly","27, Gastly","28, Gastly","23, Gastly","24, Cubone","28, Haunter","29, Haunter","32, Gengar",,,,,,,,,,,,,,,,,,
PowerPlant,"30, Magnemite","33, Magneton","35, Magneton","33, Voltorb","37, Electrode","33, Grimer","37, Muk","38, Electabuzz","39, Electabuzz","33, Raichu",,,,,,,,,,,,,,,,,,
RockTunnel1F,"15, Zubat","16, Geodude","17, Machop","19, Zubat","18, Geodude","20, Geodude","21, Zubat","17, Cubone","19, Cubone","21, Cubone",,,,,,,,,,,,,,,,,,
RockTunnelB1F,"20, Zubat","17, Geodude","18, Machop","21, Zubat","22, Zubat","21, Geodude","20, Machop","17, Onix","18, Onix","22, Onix",,,,,,,,,,,,,,,,,,
SafariZoneCenter,"32, Nidorino","32, Nidorina","35, Exeggcute","34, Rhyhorn","36, Nidoking","36, Nidoqueen","36, Weepinbell","37, Weepinbell","35, Tangela","32, Chansey",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",10 Magikarp,15 Magikarp,20 Dratini,30 Dragonair
SafariZoneEast,"32, Tauros","33, Rhyhorn","35, Exeggcute","34, Tauros","36, Cubone","36, Marowak","36, Scyther","37, Pinsir","35, Chansey","40, Scyther",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",10 Magikarp,15 Magikarp,20 Gyarados,25 Dratini
SafariZoneNorth,"32, Nidoqueen","33, Nidoking","35, Cubone","34, Kangaskhan","34, Rhyhorn","36, Marowak","35, Kangaskhan","35, Rhyhorn","36, Rhyhorn","40, Chansey",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",10 Magikarp,15 Magikarp,20 Gyarados,25 Dratini
SafariZoneWest,"35, Parasect","33, Venomoth","35, Pinsir","34, Scyther","36, Butterfree","36, Beedrill","36, Dodrio","36, Fearow","36, Pidgeot","40, Pidgeot",,,,,,,,,,,"5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",10 Magikarp,15 Magikarp,20 Gyarados,25 Dratini
SeafoamIslands1F,"25, Zubat","30, Krabby","32, Krabby","33, Golbat","35, Golbat","32, Slowpoke","35, Slowpoke","32, Golbat","35, Jynx","36, Jynx",,,,,,,,,,,,,,,,,,
SeafoamIslandsB1F,"27, Zubat","26, Krabby","36, Golbat","38, Kingler","37, Golbat","33, Slowpoke","38, Jynx","28, Kingler","35, Slowpoke","38, Slowbro",,,,,,,,,,,,,,,,,,
SeafoamIslandsB2F,"27, Zubat","26, Krabby","36, Golbat","38, Kingler","37, Golbat","33, Slowpoke","38, Jynx","28, Kingler","35, Slowpoke","38, Slowbro",,,,,,,,,,,,,,,,,,
SeafoamIslandsB3F,"36, Golbat","36, Zubat","38, Jynx","39, Kingler","34, Seel","35, Seel","40, Jynx","45, Golbat","39, Dewgong","40, Dewgong","25, Tentacool","30, Tentacool","20, Tentacool","30, Staryu","35, Tentacool","30, Staryu","40, Tentacruel","30, Staryu","30, Staryu","30, Staryu","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",35 Krabby,35 Staryu,40 Kingler,40 Staryu
SeafoamIslandsB4F,"36, Golbat","36, Zubat","38, Jynx","39, Kingler","34, Seel","35, Seel","40, Jynx","45, Golbat","39, Dewgong","40, Dewgong","25, Tentacool","30, Tentacool","20, Tentacool","30, Staryu","35, Tentacool","30, Staryu","40, Tentacruel","30, Staryu","30, Staryu","30, Staryu","5, Goldeen","5, Poliwag","20, Horsea","20, Krabby",40 Kingler,40 Staryu,35 Omanyte,35 Kabuto
VictoryRoad1F,"46, Graveler","42, Rhyhorn","45, Graveler","46, Machamp","44, Golbat","46, Golem","43, Onix","45, Onix","48, Hitmonchan","48, Hitmonchan",,,,,,,,,,,,,,,,,,
VictoryRoad2F,"46, Graveler","42, Rhyhorn","45, Graveler","46, Machamp","44, Golbat","45, Golem","45, Onix","47, Rhydon","48, Hitmonchan","48, Hitmonlee",,,,,,,,,,,,,,,,,,
VictoryRoad3F,"47, Graveler","43, Geodude","46, Machamp","47, Golbat","45, Golem","46, Onix","46, Rhydon","48, Hitmonchan","48, Hitmonlee","48, Hitmonlee",,,,,,,,,,,,,,,,,,
ViridianForest,"4, Caterpie","4, Weedle","7, Pidgey","7, Kakuna","5, Oddish","6, Metapod","6, Oddish","7, Kakuna","8, Pidgey","9, Pidgeotto",,,,,,,,,,,,,,,,,,
